Date,App Referrer Impressions,App Store Browse Impressions,App Store Search Impressions,Unavailable Impressions,Web Referrer Impressions,App Referrer App Units,App Store Browse App Units,App Store Search App Units,Unavailable App Units,Web Referrer App Units
4/15/2017,4333,95458,24877,0,5290,827,363,4290,42,1915
4/16/2017,4490,89147,24555,0,4877,863,403,4093,25,1838
4/17/2017,5347,89628,27073,0,7217,1052,363,4783,43,2643
4/18/2017,4740,91558,29643,0,7478,1047,430,5440,38,2765
4/19/2017,5422,92908,30597,0,7802,1132,442,5573,43,2820
4/20/2017,4490,87415,28633,0,7803,892,367,5257,28,2872
4/21/2017,4445,87337,27923,0,7640,813,313,5130,42,2663
4/22/2017,5107,93902,29303,0,7768,1040,375,5335,45,2755
4/23/2017,5725,95815,33323,0,9475,1023,482,5917,23,3482
4/24/2017,6207,88877,29430,0,8170,972,368,5157,17,2962
4/25/2017,5148,87908,26027,0,6580,867,343,4277,30,2370
4/26/2017,3415,86388,21910,0,4022,785,335,3660,35,1525
4/27/2017,2883,86695,22587,0,3928,655,348,3745,23,1533
4/28/2017,2738,84438,21787,0,4138,607,343,3498,15,1590
4/29/2017,4078,89658,25352,0,4027,868,333,4290,32,1558
4/30/2017,4013,95252,28068,0,4525,878,430,4748,28,1922
5/1/2017,2050,89712,23940,0,4227,495,395,4177,20,1705
5/2/2017,2390,86408,22235,0,3900,347,342,3643,22,1500
5/3/2017,3098,86875,21632,0,3647,543,313,3580,28,1460
5/4/2017,3632,854033,22532,0,3933,675,520,3777,40,1497
5/5/2017,13043,2709798,49018,0,10877,2170,905,11903,40,3952
5/6/2017,5868,2974347,48852,0,5460,1088,1047,6965,30,2015
5/7/2017,5308,2908272,27420,0,4608,1087,1112,4502,27,1928
5/8/2017,4098,2467053,23088,0,3927,748,960,3913,33,1648
5/9/2017,4045,2466102,21692,0,3772,782,935,3547,20,1578
5/10/2017,3303,2434788,22308,0,3753,650,842,3883,203,1513
5/11/2017,3258,1639338,21437,0,3893,552,598,3630,855,1492
5/12/2017,3357,99502,22348,0,4115,817,315,3478,93,1577
5/13/2017,3762,92027,26642,0,4620,800,347,4045,63,1730
5/14/2017,4025,89042,27803,0,4760,822,362,4155,55,1803
5/15/2017,4507,84898,25087,0,4473,813,308,3735,52,1762
5/16/2017,4212,85790,24418,0,4150,988,305,3543,30,1552
5/17/2017,3873,85205,23732,0,3890,820,293,3418,35,1578
5/18/2017,3078,84212,24065,0,3812,717,258,3318,15,1448
5/19/2017,2325,85025,28332,0,3997,457,317,3335,33,1577
5/20/2017,2157,90108,25758,0,3580,478,390,3713,37,1423
5/21/2017,2717,92220,29072,0,4565,573,390,4367,43,1898
5/22/2017,3102,87015,25955,0,4148,638,408,3877,38,1687
5/23/2017,3825,86485,24958,0,3887,727,340,3697,32,1563
5/24/2017,4953,88117,25243,0,3808,1078,328,3700,42,1440
5/25/2017,4365,85703,26083,0,4330,907,355,3558,42,1607
5/26/2017,5335,86968,24915,0,4683,1020,323,3607,45,1762
5/27/2017,4508,87672,26727,0,4413,967,353,3848,30,1672
5/28/2017,5650,87807,42542,0,4340,1100,360,7840,40,1735
5/29/2017,5560,91840,36763,0,4533,663,397,6343,32,1945
5/30/2017,5472,90158,52475,0,3640,512,323,4705,23,1557
5/31/2017,3872,88900,45962,0,3473,365,335,3917,32,1487
6/1/2017,2870,87040,26368,0,3268,670,353,3803,42,1442
6/2/2017,4133,86265,27850,0,3240,1090,295,3728,27,1377
6/3/2017,3878,89742,27493,0,2910,1060,320,3888,32,1242
6/4/2017,4157,93307,30995,0,4370,1072,357,4155,48,1813
6/5/2017,3847,94297,29895,0,4262,958,407,4253,107,1735
6/6/2017,4698,97540,29268,0,4485,785,372,4135,385,1723
6/7/2017,5333,92472,30755,0,5633,675,375,4307,150,2195
6/8/2017,5518,87727,30845,0,4532,593,302,3842,78,1733
6/9/2017,4900,88050,26032,0,3997,630,315,3655,95,1550
6/10/2017,4345,91182,26835,0,3770,525,343,3862,97,1482
6/11/2017,5238,90760,30138,0,3827,722,335,3932,70,1595
